time,event_type,details
5.171999999999997,CWND_UPDATE,5
5.172000000000062,PACKET_SEND,"Packet(seq=126, size=1500, flow=1)"
5.223199999999997,CWND_UPDATE,6
5.224000000000079,PACKET_SEND,"Packet(seq=127, size=1500, flow=1)"
5.274399999999996,CWND_UPDATE,7
5.275000000000096,PACKET_SEND,"Packet(seq=128, size=1500, flow=1)"
5.325599999999996,CWND_UPDATE,8
5.326000000000113,PACKET_SEND,"Packet(seq=129, size=1500, flow=1)"
5.376799999999996,CWND_UPDATE,9
5.37700000000013,PACKET_SEND,"Packet(seq=130, size=1500, flow=1)"
5.4279999999999955,CWND_UPDATE,10
5.428000000000147,PACKET_SEND,"Packet(seq=131, size=1500, flow=1)"
5.479199999999995,CWND_UPDATE,11
5.480000000000165,PACKET_SEND,"Packet(seq=132, size=1500, flow=1)"
5.530399999999995,CWND_UPDATE,12
5.531000000000182,PACKET_SEND,"Packet(seq=133, size=1500, flow=1)"
5.581599999999995,CWND_UPDATE,13
5.582000000000199,PACKET_SEND,"Packet(seq=134, size=1500, flow=1)"
5.632799999999994,CWND_UPDATE,14
5.633000000000216,PACKET_SEND,"Packet(seq=135, size=1500, flow=1)"
5.683999999999994,CWND_UPDATE,15
5.684000000000233,PACKET_SEND,"Packet(seq=136, size=1500, flow=1)"
5.735199999999994,CWND_UPDATE,16
5.73600000000025,PACKET_SEND,"Packet(seq=137, size=1500, flow=1)"
5.786399999999993,CWND_UPDATE,17
5.787000000000267,PACKET_SEND,"Packet(seq=138, size=1500, flow=1)"
5.837599999999993,CWND_UPDATE,18
5.838000000000284,PACKET_SEND,"Packet(seq=139, size=1500, flow=1)"
5.888799999999993,CWND_UPDATE,19
5.889000000000301,PACKET_SEND,"Packet(seq=140, size=1500, flow=1)"
5.939999999999992,CWND_UPDATE,20
5.940000000000318,PACKET_SEND,"Packet(seq=141, size=1500, flow=1)"
5.991199999999992,CWND_UPDATE,21
5.992000000000336,PACKET_SEND,"Packet(seq=142, size=1500, flow=1)"
6.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
6.000000000000338,PACKET_SEND,"Packet(seq=143, size=1500, flow=1)"
6.042399999999992,CWND_UPDATE,2
6.043000000000353,PACKET_SEND,"Packet(seq=144, size=1500, flow=1)"
6.0935999999999915,CWND_UPDATE,3
6.09400000000037,PACKET_SEND,"Packet(seq=145, size=1500, flow=1)"
6.144799999999991,CWND_UPDATE,4
6.145000000000387,PACKET_SEND,"Packet(seq=146, size=1500, flow=1)"
6.195999999999991,CWND_UPDATE,5
6.196000000000404,PACKET_SEND,"Packet(seq=147, size=1500, flow=1)"
6.2471999999999905,CWND_UPDATE,6
6.248000000000421,PACKET_SEND,"Packet(seq=148, size=1500, flow=1)"
6.29839999999999,CWND_UPDATE,7
6.299000000000438,PACKET_SEND,"Packet(seq=149, size=1500, flow=1)"
6.34959999999999,CWND_UPDATE,8
6.350000000000455,PACKET_SEND,"Packet(seq=150, size=1500, flow=1)"
6.40079999999999,CWND_UPDATE,9
6.401000000000472,PACKET_SEND,"Packet(seq=151, size=1500, flow=1)"
6.451999999999989,CWND_UPDATE,10
6.452000000000489,PACKET_SEND,"Packet(seq=152, size=1500, flow=1)"
6.503199999999989,CWND_UPDATE,11
6.504000000000507,PACKET_SEND,"Packet(seq=153, size=1500, flow=1)"
6.554399999999989,CWND_UPDATE,12
6.555000000000524,PACKET_SEND,"Packet(seq=154, size=1500, flow=1)"
6.605599999999988,CWND_UPDATE,13
6.606000000000541,PACKET_SEND,"Packet(seq=155, size=1500, flow=1)"
6.656799999999988,CWND_UPDATE,14
6.657000000000558,PACKET_SEND,"Packet(seq=156, size=1500, flow=1)"
6.707999999999988,CWND_UPDATE,15
6.708000000000575,PACKET_SEND,"Packet(seq=157, size=1500, flow=1)"
6.759199999999987,CWND_UPDATE,16
6.760000000000592,PACKET_SEND,"Packet(seq=158, size=1500, flow=1)"
6.810399999999987,CWND_UPDATE,17
6.811000000000609,PACKET_SEND,"Packet(seq=159, size=1500, flow=1)"
6.861599999999987,CWND_UPDATE,18
6.862000000000626,PACKET_SEND,"Packet(seq=160, size=1500, flow=1)"
6.9127999999999865,CWND_UPDATE,19
6.913000000000643,PACKET_SEND,"Packet(seq=161, size=1500, flow=1)"
6.963999999999986,CWND_UPDATE,20
6.96400000000066,PACKET_SEND,"Packet(seq=162, size=1500, flow=1)"
7.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
7.000000000000672,PACKET_SEND,"Packet(seq=163, size=1500, flow=1)"
7.015199999999986,CWND_UPDATE,2
7.016000000000678,PACKET_SEND,"Packet(seq=164, size=1500, flow=1)"
7.066399999999986,CWND_UPDATE,3
7.067000000000695,PACKET_SEND,"Packet(seq=165, size=1500, flow=1)"
7.117599999999985,CWND_UPDATE,4
7.118000000000712,PACKET_SEND,"Packet(seq=166, size=1500, flow=1)"
7.168799999999985,CWND_UPDATE,5
7.169000000000729,PACKET_SEND,"Packet(seq=167, size=1500, flow=1)"
7.219999999999985,CWND_UPDATE,6
7.220000000000746,PACKET_SEND,"Packet(seq=168, size=1500, flow=1)"
7.271199999999984,CWND_UPDATE,7
7.272000000000763,PACKET_SEND,"Packet(seq=169, size=1500, flow=1)"
7.322399999999984,CWND_UPDATE,8
7.32300000000078,PACKET_SEND,"Packet(seq=170, size=1500, flow=1)"
7.373599999999984,CWND_UPDATE,9
7.374000000000797,PACKET_SEND,"Packet(seq=171, size=1500, flow=1)"
7.424799999999983,CWND_UPDATE,10
7.425000000000814,PACKET_SEND,"Packet(seq=172, size=1500, flow=1)"
7.475999999999983,CWND_UPDATE,11
7.476000000000831,PACKET_SEND,"Packet(seq=173, size=1500, flow=1)"
7.527199999999983,CWND_UPDATE,12
7.528000000000849,PACKET_SEND,"Packet(seq=174, size=1500, flow=1)"
7.5783999999999825,CWND_UPDATE,13
7.579000000000866,PACKET_SEND,"Packet(seq=175, size=1500, flow=1)"
7.629599999999982,CWND_UPDATE,14
7.630000000000883,PACKET_SEND,"Packet(seq=176, size=1500, flow=1)"
7.680799999999982,CWND_UPDATE,15
7.6810000000009,PACKET_SEND,"Packet(seq=177, size=1500, flow=1)"
7.7319999999999816,CWND_UPDATE,16
7.732000000000917,PACKET_SEND,"Packet(seq=178, size=1500, flow=1)"
7.783199999999981,CWND_UPDATE,17
7.784000000000934,PACKET_SEND,"Packet(seq=179, size=1500, flow=1)"
7.834399999999981,CWND_UPDATE,18
7.835000000000951,PACKET_SEND,"Packet(seq=180, size=1500, flow=1)"
7.885599999999981,CWND_UPDATE,19
7.886000000000968,PACKET_SEND,"Packet(seq=181, size=1500, flow=1)"
7.93679999999998,CWND_UPDATE,20
7.937000000000985,PACKET_SEND,"Packet(seq=182, size=1500, flow=1)"
7.98799999999998,CWND_UPDATE,21
7.988000000001002,PACKET_SEND,"Packet(seq=183, size=1500, flow=1)"
8.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
