2025-12-01 01:25:56,647 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7800000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23CB0>
2025-12-01 01:25:56,725 - DEBUG - Recorded event: time=0.7800000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23CB0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8000000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23E90>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8000000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23E90>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8300000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23F50>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8300000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23F50>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8500000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23FB0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8500000000000005, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23FB0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8700000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C050>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8700000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C050>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8900000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C0B0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.8900000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C0B0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.9100000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C110>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.9100000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C110>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.9200000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23EF0>
2025-12-01 01:25:56,726 - DEBUG - Recorded event: time=0.9200000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23EF0>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9300000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C170>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9300000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C170>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9400000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C1D0>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9400000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C1D0>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9600000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C290>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9600000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C290>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9700000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C2F0>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=0.9700000000000006, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C2F0>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C350>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C350>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0200000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C410>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0200000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C410>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0300000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C470>
2025-12-01 01:25:56,727 - DEBUG - Recorded event: time=1.0300000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C470>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0600000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C4D0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0600000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C4D0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0700000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C530>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0700000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C530>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0900000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C5F0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.0900000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C5F0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1100000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C650>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1100000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C650>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1200000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C590>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1200000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C590>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1300000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C6B0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1300000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C6B0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1600000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C7D0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1600000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C7D0>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1800000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C830>
2025-12-01 01:25:56,728 - DEBUG - Recorded event: time=1.1800000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C830>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.1900000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C770>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.1900000000000008, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C770>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.2400000000000009, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C890>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.2400000000000009, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C890>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.2500000000000009, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C950>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.2500000000000009, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C950>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.260000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C9B0>
2025-12-01 01:25:56,729 - DEBUG - Recorded event: time=1.260000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8C9B0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.280000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CA70>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.280000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CA70>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.300000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CAD0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.300000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CAD0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.310000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CA10>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.310000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CA10>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.340000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CBF0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.340000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CBF0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.370000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CB90>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.370000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CB90>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.390000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CCB0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.390000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CCB0>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.420000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CC50>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.420000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CC50>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.430000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CD10>
2025-12-01 01:25:56,730 - DEBUG - Recorded event: time=1.430000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CD10>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.450000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CDD0>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.450000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CDD0>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.460000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CE30>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.460000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CE30>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.470000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CE90>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.470000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CE90>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.500000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CEF0>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.500000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CEF0>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.5100000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CF50>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.5100000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CF50>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.5200000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CFB0>
2025-12-01 01:25:56,731 - DEBUG - Recorded event: time=1.5200000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8CFB0>
2025-12-01 01:25:56,732 - DEBUG - Recorded event: time=1.5400000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8D070>
2025-12-01 01:25:56,732 - DEBUG - Recorded event: time=1.5400000000000011, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8D070>
2025-12-01 01:25:56,733 - DEBUG - Recorded event: time=1.5800000000000012, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F8D130>
